src,dst,weight
1,4,1
1,6,1
1,16,1
1,21,1
1,49,1
1,67,1
1,72,1
1,74,1
1,93,1
1,101,1
1,113,1
1,118,1
1,147,1
1,245,1
1,282,1
1,319,1
1,322,1
1,344,1
1,500,1
1,503,1
1,543,1
1,544,1
1,575,1
1,649,1
1,668,1
1,694,1
1,719,1
1,750,1
1,863,1
1,911,1
1,922,1
1,946,1
1,997,1
1,1014,1
1,1076,1
1,1175,1
1,1270,1
1,1280,1
1,1353,1
1,1377,1
1,1480,1
1,1557,1
1,1791,1
1,1799,1
1,1805,1
1,1933,1
1,2033,1
1,2215,1
1,2249,1
1,2250,1
1,2637,1
1,2756,1
1,2825,1
1,3049,1
1,3261,1
1,3287,1
1,3291,1
1,3663,1
1,3709,1
1,3817,1
1,4139,1
1,4358,1
1,4562,1
1,4896,1
2,4,1
2,5,1
2,7,1
2,12,1
2,20,1
2,39,1
2,46,1
2,48,1
2,63,1
2,111,1
2,114,1
2,131,1
2,142,1
2,155,1
2,164,1
2,228,1
2,285,1
2,321,1
2,438,1
2,444,1
2,671,1
2,684,1
2,802,1
2,891,1
2,981,1
2,1012,1
2,1053,1
2,1069,1
2,1099,1
2,1221,1
2,1477,1
2,1528,1
2,1740,1
2,1911,1
2,1945,1
2,2227,1
2,2303,1
2,2424,1
2,2676,1
2,2748,1
2,2795,1
2,2959,1
2,3367,1
2,3423,1
2,3529,1
2,4264,1
2,4284,1
2,4391,1
2,4881,1
3,4,1
3,5,1
3,6,1
3,7,1
3,8,1
3,10,1
3,11,1
3,26,1
3,28,1
3,31,1
3,32,1
3,34,1
3,35,1
3,43,1
3,44,1
3,74,1
3,82,1
3,87,1
3,89,1
3,96,1
3,110,1
3,113,1
3,143,1
3,146,1
3,190,1
3,193,1
3,195,1
3,290,1
3,294,1
3,295,1
3,354,1
3,380,1
3,382,1
3,406,1
3,540,1
3,543,1
3,561,1
3,582,1
3,651,1
3,690,1
3,728,1
3,734,1
3,788,1
3,793,1
3,870,1
3,951,1
3,960,1
3,989,1
3,1047,1
3,1087,1
3,1094,1
3,1124,1
3,1148,1
3,1202,1
3,1266,1
3,1299,1
3,1366,1
3,1436,1
3,1472,1
3,1473,1
3,1523,1
3,1536,1
3,1583,1
3,1700,1
3,1705,1
3,1706,1
3,1766,1
3,1768,1
3,1784,1
3,1871,1
3,1890,1
3,1976,1
3,1977,1
3,1999,1
3,2021,1
3,2064,1
3,2107,1
3,2111,1
3,2152,1
3,2170,1
3,2292,1
3,2306,1
3,2325,1
3,2435,1
3,2541,1
3,2607,1
3,2691,1
3,2773,1
3,2801,1
3,2869,1
3,2988,1
3,3198,1
3,3207,1
3,3252,1
3,3317,1
3,3322,1
3,3437,1
3,3453,1
3,3503,1
3,3518,1
3,3540,1
3,3579,1
3,3582,1
3,3683,1
3,3718,1
3,3751,1
3,3881,1
3,3921,1
3,3957,1
3,4008,1
3,4010,1
3,4036,1
3,4059,1
3,4089,1
3,4298,1
3,4347,1
3,4445,1
3,4473,1
3,4544,1
3,4556,1
3,4639,1
3,4744,1
3,4986,1
4,5,1
4,8,1
4,9,1
4,13,1
4,24,1
4,29,1
4,36,1
4,50,1
4,58,1
4,63,1
4,69,1
4,73,1
4,84,1
4,98,1
4,100,1
4,117,1
4,137,1
4,201,1
4,226,1
4,257,1
4,258,1
4,313,1
4,315,1
4,395,1
4,410,1
4,438,1
4,442,1
4,454,1
4,478,1
4,519,1
4,676,1
4,743,1
4,972,1
4,979,1
4,1021,1
4,1084,1
4,1162,1
4,1190,1
4,1237,1
4,1261,1
4,1339,1
4,1412,1
4,1415,1
4,1577,1
4,1634,1
4,1680,1
4,1888,1
4,1978,1
4,2033,1
4,2058,1
4,2112,1
4,2173,1
4,2285,1
4,2333,1
4,2365,1
4,2374,1
4,2484,1
4,2673,1
4,2808,1
4,2824,1
4,2883,1
4,2933,1
4,3023,1
4,3097,1
4,3135,1
4,3231,1
4,3286,1
4,3583,1
4,3675,1
4,3726,1
4,3800,1
4,3847,1
4,3848,1
4,4013,1
4,4324,1
4,4480,1
4,4553,1
4,4596,1
4,4816,1
4,4866,1
4,4895,1
4,4926,1
5,6,1
5,7,1
5,8,1
5,9,1
5,11,1
5,12,1
5,13,1
5,14,1
5,17,1
5,24,1
5,25,1
5,34,1
5,45,1
5,49,1
5,53,1
5,54,1
5,61,1
5,63,1
5,77,1
5,84,1
5,85,1
5,87,1
5,95,1
5,102,1
5,112,1
5,124,1
5,128,1
5,136,1
5,145,1
5,149,1
5,152,1
5,153,1
