src,dst,weight
1,1936,1
1,3921,1
1,4376,1
1,4578,1
2,1532,1
2,1917,1
2,4424,1
2,4440,1
2,4867,1
3,211,1
3,1426,1
3,1849,1
3,3004,1
3,3729,1
3,3759,1
3,3804,1
3,4999,1
4,1429,1
4,1552,1
4,2274,1
4,3684,1
5,4574,1
6,678,1
6,1244,1
6,1294,1
6,1349,1
6,2084,1
6,2619,1
7,574,1
7,1627,1
7,1969,1
7,2981,1
8,2298,1
8,4652,1
9,50,1
9,4219,1
10,1170,1
10,3289,1
10,3604,1
10,3720,1
10,4050,1
11,1660,1
11,2949,1
12,682,1
12,1655,1
12,3293,1
12,3809,1
12,3909,1
12,4593,1
13,416,1
13,959,1
13,2342,1
13,2384,1
13,3390,1
13,4623,1
14,1319,1
14,1631,1
14,4922,1
15,144,1
15,1439,1
15,1824,1
15,3005,1
16,467,1
16,1613,1
16,1647,1
16,1650,1
16,2448,1
16,3099,1
16,3532,1
17,339,1
17,2381,1
17,3854,1
17,3887,1
17,4274,1
17,4658,1
17,4963,1
18,700,1
18,961,1
18,1012,1
18,1859,1
18,2122,1
18,2139,1
18,2589,1
19,1538,1
19,2942,1
19,3469,1
20,506,1
20,590,1
20,993,1
20,2088,1
20,2402,1
20,3124,1
20,3587,1
20,4969,1
21,707,1
21,985,1
21,1556,1
21,3252,1
21,3694,1
21,4015,1
21,4527,1
22,143,1
22,702,1
22,2316,1
22,3356,1
22,4330,1
23,102,1
23,1009,1
23,2681,1
23,3745,1
23,4357,1
23,4393,1
23,4674,1
23,4961,1
24,763,1
24,1467,1
25,2085,1
26,1696,1
26,1857,1
26,4097,1
27,219,1
27,830,1
27,2340,1
27,2513,1
27,3551,1
27,3989,1
27,4152,1
28,544,1
28,1718,1
28,2507,1
28,3878,1
28,4317,1
29,949,1
29,1965,1
29,2452,1
29,4289,1
30,1308,1
31,198,1
31,241,1
31,3297,1
31,4685,1
32,2225,1
32,4746,1
33,1021,1
33,1903,1
33,4518,1
34,53,1
34,383,1
34,2429,1
34,2923,1
35,870,1
35,1220,1
36,1894,1
36,2018,1
37,2970,1
37,3621,1
38,566,1
38,664,1
38,989,1
38,4503,1
39,1044,1
39,1606,1
39,2848,1
40,693,1
40,1140,1
40,2139,1
40,4280,1
40,4672,1
41,823,1
41,1654,1
41,3686,1
42,231,1
42,1416,1
42,1452,1
42,2517,1
42,4252,1
42,4334,1
42,4776,1
43,2010,1
44,829,1
44,2120,1
44,4069,1
45,77,1
45,1165,1
45,2321,1
45,3533,1
45,3549,1
46,68,1
46,1016,1
46,1854,1
47,131,1
47,448,1
47,1423,1
47,4315,1
47,4577,1
47,4724,1
48,725,1
48,864,1
48,1383,1
48,1957,1
48,2407,1
48,2921,1
49,683,1
49,2204,1
49,3056,1
49,3802,1
49,4283,1
50,581,1
50,1294,1
50,1653,1
50,2268,1
50,2460,1
50,2535,1
50,2574,1
50,3562,1
51,2260,1
51,3286,1
51,3866,1
51,4247,1
51,4441,1
51,4553,1
52,283,1
52,3956,1
52,4815,1
53,83,1
53,1344,1
53,1579,1
53,3273,1
53,4331,1
53,4644,1
53,4883,1
54,707,1
54,1957,1
54,3458,1
54,3486,1
54,4308,1
54,4357,1
54,4530,1
55,529,1
55,1612,1
55,2323,1
55,2351,1
55,3168,1
55,3511,1
55,3612,1
55,4092,1
56,351,1
56,549,1
56,983,1
56,2733,1
56,2742,1
56,3316,1
56,3822,1
56,4112,1
57,1044,1
57,1050,1
57,3495,1
58,428,1
58,2935,1
58,2942,1
59,1403,1
59,2459,1
59,4900,1
60,552,1
60,3490,1
61,450,1
61,926,1
61,2371,1
61,2834,1
62,557,1
62,1381,1
62,2827,1
62,3543,1
63,203,1
63,4670,1
64,1487,1
64,3934,1
64,4670,1
65,3167,1
65,3281,1
65,3610,1
66,2221,1
66,4328,1
66,4771,1
66,4806,1
67,1884,1
67,1977,1
67,2783,1
67,3804,1
68,1055,1
68,1320,1
68,1492,1
68,3022,1
68,3789,1
68,4048,1
68,4159,1
69,3677,1
69,3890,1
69,4040,1
70,793,1
70,2923,1
70,3969,1
71,198,1
71,199,1
71,2439,1
71,2640,1
71,3284,1
71,4610,1
72,2130,1
72,2317,1
72,2869,1
72,3171,1
72,3692,1
73,913,1
73,1686,1
73,3810,1
73,3866,1
73,4364,1
74,809,1
74,2800,1
74,4276,1
75,237,1
75,1932,1
76,302,1
76,554,1
76,1839,1
76,3267,1
76,3855,1
76,4866,1
77,1740,1
77,3194,1
77,3851,1
77,4022,1
77,4988,1
78,249,1
78,1213,1
78,1331,1
78,1719,1
78,3816,1
78,4300,1
79,3708,1
79,4790,1
80,968,1
80,2345,1
80,3837,1
80,4354,1
81,2365,1
81,2373,1
81,3472,1
81,4552,1
82,409,1
82,564,1
82,597,1
82,3206,1
82,3883,1
84,996,1
84,2538,1
84,4311,1
84,4629,1
85,901,1
85,1051,1
85,3182,1
85,3274,1
85,4149,1
85,4665,1
86,1265,1
86,2958,1
86,3197,1
87,296,1
87,1131,1
87,4370,1
88,2426,1
88,2879,1
88,4103,1
88,4315,1
88,4675,1
89,979,1
89,2422,1
89,3695,1
89,4959,1
90,401,1
90,2855,1
90,3109,1
90,3815,1
90,3853,1
91,453,1
91,964,1
91,4131,1
91,4421,1
92,1251,1
92,4037,1
92,4038,1
93,1090,1
93,2402,1
94,2374,1
94,3381,1
94,4244,1
94,4652,1
94,4868,1
95,1999,1
95,3239,1
95,3448,1
96,572,1
96,1826,1
96,2443,1
96,2574,1
96,3121,1
97,732,1
97,1687,1
97,2740,1
97,4515,1
98,538,1
98,3788,1
99,1103,1
99,1297,1
99,1838,1
99,2393,1
99,2610,1
99,3070,1
99,3095,1
99,3203,1
99,4748,1
99,4765,1
100,433,1
100,1143,1
100,3673,1
101,954,1
101,3675,1
101,3861,1
101,4329,1
101,4453,1
101,4674,1
101,4866,1
102,103,1
102,3493,1
102,4496,1
104,263,1
104,556,1
104,1454,1
104,2514,1
104,2741,1
104,4067,1
105,1424,1
105,1707,1
105,3091,1
105,3625,1
106,916,1
106,1193,1
106,1313,1
106,1552,1
106,2573,1
107,1011,1
107,1316,1
107,1642,1
107,3392,1
107,4020,1
107,4544,1
108,1545,1
108,2382,1
108,3207,1
108,3369,1
108,4641,1
109,2373,1
109,2962,1
109,3722,1
109,4824,1
110,2276,1
111,1326,1
111,1344,1
111,2125,1
112,1456,1
112,2851,1
112,4189,1
113,787,1
113,989,1
113,1532,1
113,2122,1
113,2978,1
113,3469,1
114,321,1
114,1303,1
114,1329,1
114,2235,1
116,662,1
117,716,1
117,2464,1
117,4667,1
118,1899,1
118,4874,1
119,1717,1
119,2153,1
119,2998,1
119,3378,1
119,4000,1
119,4606,1
120,312,1
120,1810,1
120,1970,1
120,3482,1
121,4205,1
122,1617,1
122,3703,1
123,574,1
123,1312,1
123,1945,1
123,2837,1
123,3446,1
123,3475,1
123,3801,1
123,4383,1
124,1090,1
124,1612,1
124,3234,1
124,3437,1
125,211,1
125,774,1
125,1056,1
125,1559,1
125,2717,1
125,3861,1
125,4375,1
125,4845,1
126,402,1
126,784,1
126,2227,1
126,2902,1
127,2211,1
127,3026,1
127,4194,1
128,1233,1
128,2684,1
128,3676,1
129,768,1
129,4419,1
130,2851,1
130,4680,1
130,4686,1
131,1751,1
131,2216,1
131,2924,1
131,3832,1
131,4233,1
131,4502,1
132,820,1
132,1850,1
132,2023,1
132,2089,1
132,4376,1
132,4616,1
133,882,1
133,1055,1
133,1875,1
133,2682,1
134,1027,1
134,3822,1
134,4325,1
135,1023,1
135,1631,1
135,3277,1
135,4801,1
136,454,1
136,1924,1
136,2438,1
136,4497,1
137,506,1
137,751,1
137,1174,1
137,1952,1
137,4181,1
138,1505,1
138,2279,1
138,3432,1
138,3812,1
139,1170,1
139,1704,1
139,1718,1
139,4453,1
140,3436,1
141,1684,1
141,1857,1
142,2546,1
142,3424,1
142,3762,1
142,4991,1
143,198,1
143,280,1
143,2314,1
143,2425,1
144,1423,1
144,2034,1
144,2316,1
144,3253,1
144,3600,1
144,4993,1
145,2440,1
145,3741,1
145,4635,1
146,147,1
146,357,1
146,1741,1
146,2882,1
146,3519,1
146,3733,1
146,3768,1
147,384,1
147,1114,1
147,2824,1
147,4591,1
147,4646,1
148,991,1
148,2185,1
148,2634,1
148,2647,1
148,3887,1
148,3934,1
148,4666,1
149,598,1
149,4341,1
150,1406,1
150,4276,1
151,1837,1
151,2163,1
152,2193,1
152,2582,1
152,2642,1
152,2965,1
153,1713,1
153,3282,1
154,2185,1
154,4327,1
154,4755,1
155,650,1
155,1547,1
155,1550,1
155,2050,1
155,3154,1
155,3590,1
155,4377,1
156,1470,1
156,2660,1
156,2918,1
156,4812,1
157,499,1
157,1167,1
158,2464,1
159,225,1
159,356,1
159,2860,1
159,3727,1
160,1657,1
161,736,1
161,789,1
161,2037,1
161,2229,1
161,2653,1
161,2657,1
161,3664,1
162,2462,1
162,2735,1
162,3427,1
162,3498,1
163,280,1
163,1437,1
163,1492,1
163,3185,1
163,3272,1
163,3380,1
163,4761,1
164,1394,1
164,1471,1
164,1488,1
164,2673,1
165,1505,1
165,2230,1
